customer_id,customer_name,email,region,segment,created_at,source_updated_at
1,Customer 0001,customer0001@example.com,West,Mid-Market,2024-10-13,2026-09-02T15:36:00
2,Customer 0002,customer0002@example.com,South,SMB,2024-07-06,2026-09-02T17:42:00
3,Customer 0003,customer0003@example.com,South,Mid-Market,2025-05-13,2026-09-02T17:09:00
4,Customer 0004,customer0004@example.com,West,SMB,2025-04-06,2026-09-02T16:15:00
5,Customer 0005,customer0005@example.com,West,SMB,2026-03-09,2026-09-02T15:38:00
6,Customer 0006,customer0006@example.com,South,Mid-Market,2025-03-08,2026-09-02T16:10:00
7,Customer 0007,customer0007@example.com,West,Enterprise,2024-07-03,2026-09-02T15:35:00
8,Customer 0008,customer0008@example.com,Central,Mid-Market,2025-09-01,2026-09-02T17:37:00
9,Customer 0009,customer0009@example.com,East,Enterprise,2025-04-20,2026-09-02T17:27:00
10,Customer 0010,customer0010@example.com,West,SMB,2024-08-22,2026-09-02T16:51:00
11,Customer 0011,customer0011@example.com,West,Enterprise,2024-10-07,2026-09-02T17:00:00
12,Customer 0012,customer0012@example.com,Central,Enterprise,2025-05-31,2026-09-02T16:10:00
13,Customer 0013,customer0013@example.com,West,Mid-Market,2024-03-27,2026-09-02T17:40:00
14,Customer 0014,customer0014@example.com,Central,SMB,2025-10-29,2026-09-02T17:24:00
15,Customer 0015,customer0015@example.com,South,Mid-Market,2025-03-25,2026-09-02T15:56:00
16,Customer 0016,customer0016@example.com,Central,SMB,2026-04-14,2026-09-02T16:43:00
17,Customer 0017,customer0017@example.com,West,SMB,2024-07-26,2026-09-02T16:11:00
18,Customer 0018,customer0018@example.com,West,Mid-Market,2025-02-06,2026-09-02T17:38:00
19,Customer 0019,customer0019@example.com,South,SMB,2025-01-05,2026-09-02T15:55:00
20,Customer 0020,customer0020@example.com,Central,SMB,2024-04-04,2026-09-02T17:29:00
21,Customer 0021,customer0021@example.com,East,Enterprise,2026-04-12,2026-09-02T16:15:00
22,Customer 0022,customer0022@example.com,South,SMB,2024-09-22,2026-09-02T17:52:00
23,Customer 0023,customer0023@example.com,West,SMB,2026-02-06,2026-09-02T15:18:00
24,Customer 0024,customer0024@example.com,South,Mid-Market,2024-09-24,2026-09-02T17:37:00
25,Customer 0025,customer0025@example.com,Central,SMB,2025-10-18,2026-09-02T17:02:00
26,Customer 0026,customer0026@example.com,West,Mid-Market,2024-04-22,2026-09-02T17:10:00
27,Customer 0027,customer0027@example.com,Central,SMB,2026-06-11,2026-09-02T15:06:00
28,Customer 0028,customer0028@example.com,South,Mid-Market,2025-12-29,2026-09-02T15:16:00
29,Customer 0029,customer0029@example.com,Central,SMB,2025-11-21,2026-09-02T17:08:00
30,Customer 0030,customer0030@example.com,Central,Mid-Market,2026-02-14,2026-09-02T15:12:00
31,Customer 0031,customer0031@example.com,Central,Mid-Market,2025-01-27,2026-09-02T17:42:00
32,Customer 0032,customer0032@example.com,South,SMB,2024-04-22,2026-09-02T16:24:00
33,Customer 0033,customer0033@example.com,Central,SMB,2024-10-06,2026-09-02T15:59:00
34,Customer 0034,customer0034@example.com,Central,SMB,2024-12-20,2026-09-02T16:16:00
35,Customer 0035,customer0035@example.com,South,SMB,2025-04-27,2026-09-02T15:54:00
36,Customer 0036,customer0036@example.com,East,Mid-Market,2024-11-03,2026-09-02T17:43:00
37,Customer 0037,customer0037@example.com,East,Mid-Market,2024-10-03,2026-09-02T17:38:00
38,Customer 0038,customer0038@example.com,South,Mid-Market,2025-09-02,2026-09-02T15:19:00
39,Customer 0039,customer0039@example.com,West,Mid-Market,2025-01-18,2026-09-02T16:39:00
40,Customer 0040,customer0040@example.com,South,Mid-Market,2026-05-19,2026-09-02T16:02:00
41,Customer 0041,customer0041@example.com,West,SMB,2025-02-26,2026-09-02T15:33:00
42,Customer 0042,customer0042@example.com,West,SMB,2025-10-05,2026-09-02T17:06:00
43,Customer 0043,customer0043@example.com,East,Mid-Market,2026-04-09,2026-09-02T15:09:00
44,Customer 0044,customer0044@example.com,West,SMB,2024-12-01,2026-09-02T16:07:00
45,Customer 0045,customer0045@example.com,South,Mid-Market,2025-01-07,2026-09-02T18:00:00
46,Customer 0046,customer0046@example.com,West,SMB,2026-05-29,2026-09-02T15:47:00
47,Customer 0047,customer0047@example.com,West,SMB,2026-01-12,2026-09-02T15:17:00
48,Customer 0048,customer0048@example.com,South,Mid-Market,2026-04-04,2026-09-02T15:05:00
